JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,YCY
北2-2-038,199410,6924946,5.2,560,3,6,1221.8,23.6607,50.91,18.51
北2-2-038,199411,6924946,5.7,415,3,6,1539.5,23.7818,51.32,14.51
北2-2-038,199412,6924946,5.5,483,3,6,1440.6,23.9029,46.47,11.95
北2-2-038,199501,6924946,7.7,170,3,6,1319,24.0206,42.55,11.66
北2-2-038,199502,6924946,7.1,284,3,6,1315.3,24.1289,46.98,12.33
北2-2-038,199503,6924946,6.9,327,3,6,1438.4,24.2465,46.4,10.63
北2-2-038,199504,6924946,8,171,3,6,1328.7,24.3586,44.29,9.62
北2-2-038,199505,6924946,8.5,157,3,6,1467.9,24.4744,47.35,8.95
北2-2-038,199506,6924946,8.7,41,3,6,1496,24.5871,49.87,9.47
北2-2-038,199507,6924946,8.7,41,3,6,1611.1,24.7014,51.97,9.38
北2-2-038,199508,6924946,7.7,157,3,6,1684.6,24.8121,54.34,10.62
北2-2-038,199509,6924946,8,135,3,6,1588.6,24.9211,52.95,9.96
北2-2-038,199510,6924946,7.1,248,3,6,1518.9,25.0356,49,9.27
北2-2-038,199511,6924946,7.1,248,3,6,1655,25.1557,55.17,9.92
北2-2-038,199512,6924946,7.1,248,3,6,1920.6,25.2708,61.95,10.96
北2-2-038,199601,6924946,7.1,248,3,6,1752.3,25.3848,56.53,10
北2-2-038,199602,6924946,7.1,248,3,6,1573.7,25.4963,54.27,10.48
北2-2-038,199603,6924946,7.1,248,3,6,1575.7,25.6109,50.83,9.4
北2-2-038,199604,6924946,7.1,248,3,6,1600.9,25.7266,53.36,7.92
北2-2-038,199605,6924946,7.1,248,3,6,1813.1,25.8422,58.49,7.26
北2-2-038,199606,6924946,7.1,248,3,6,2160.5,25.955,72.02,5.92
北2-2-038,199607,6924946,7.1,248,3,6,2364.1,26.068,76.26,9.26
北2-2-038,199608,6924946,7.1,248,3,6,2301.7,26.1806,74.25,8.82
北2-2-038,199609,6924946,7.1,248,3,6,2118.3,26.2812,70.61,7.06
北2-2-038,199610,6924946,8.7,66,3,6,2334.2,26.3863,77.81,7.47
北2-2-040,198412,6924801,13.2,74,3,6,902.7,11.7027,31.13,9.14
北2-2-040,198501,6924801,12.9,240,3,6,911.6,11.825,30.39,8.29
北2-2-040,198502,6924801,13,42,3,6,904.5,11.9375,33.5,9.22
北2-2-040,198503,6924801,13.1,82,3,6,1060.9,12.0697,35.36,7.99
北2-2-040,198504,6924801,13.3,82,3,6,1278.6,12.2046,44.09,10.54
北2-2-040,198505,6924801,12.6,82,3,6,1465,12.3381,48.83,11.4
北2-2-040,198506,6924801,11.2,242,3,6,1312.3,12.4724,45.25,11.26
北2-2-040,198507,6924801,11.8,226,3,6,1110.4,12.6121,37.01,9.34
北2-2-040,198508,6924801,6.6,246,3,6,1069.2,12.7509,35.64,8.81
北2-2-040,198509,6924801,11.4,166,3,6,947.7,12.8854,32.68,7.05
北2-2-040,198510,6924801,10.8,256,3,6,1337.9,13.0246,44.6,7.85
北2-2-040,198511,6924801,10.8,256,3,6,1145.9,13.1647,45.84,8.72
北2-2-040,198512,6924801,8.1,654,3,6,1336.4,13.3065,51.4,11.75
北2-2-040,198601,6924801,7.8,576,3,6,1327.5,13.4445,44.25,9.96
北2-2-040,198602,6924801,10.4,214,3,6,1223.4,13.5699,45.31,10.29
北2-2-040,198603,6924801,10.7,216,3,6,1130.5,13.7107,38.98,7.22
北2-2-040,198604,6924801,10,284,3,6,1317.4,13.8422,45.43,8.88
北2-2-040,198605,6924801,5.8,641,3,6,1444.8,13.9766,48.16,7.68
北2-2-040,198606,6924801,9.2,325,3,6,1080.9,14.1084,37.27,6.27
北2-2-040,198607,6924801,8.5,232,3,6,1265.6,14.2376,40.83,6.44
北2-2-040,198608,6924801,10,232,3,6,1306.4,14.3612,42.14,4.97
北2-2-040,198609,6924801,10.5,467,3,6,1264.9,14.481,42.16,4.46
北2-2-040,198610,6924801,12.1,163,3,6,1423,14.6003,45.9,5.17
北2-2-040,198611,6924801,8.1,163,3,6,1477.6,14.7099,49.25,7.18
北2-2-040,198612,6924801,8,331,3,6,1515.8,14.8271,48.9,6.23
北2-2-040,198701,6924801,7.3,394,3,6,1365.8,14.9399,44.06,6.25
北2-2-040,198702,6924801,7.3,394,3,6,982.4,15.0385,35.09,5.04
北2-2-040,198703,6924801,7.3,394,3,6,889,15.1461,34.19,3.45
北2-2-040,198704,6924801,10.3,394,3,6,1586.2,15.2433,54.7,5.78
北2-2-040,198705,6924801,7.5,350,3,6,1603.7,15.3393,51.73,5.95
