jh,rq,real,predict,jdwc,xdwc,mpe
喇10-18,1982-10-01,78.14157528957529,76.505356,1.6362194546143485,0.020939166487889238,-2.093916648788924
喇10-18,1982-11-01,75.66387969924813,76.4823,0.8184201054393725,0.01081652313749258,1.081652313749258
喇10-18,1982-12-01,77.314982727088,76.979256,0.33572705081846266,0.004342328472135035,-0.4342328472135035
喇10-18,1983-01-01,74.21474009347693,76.646225,2.431484882109004,0.032762829581380125,3.2762829581380126
喇10-18,1983-02-01,82.81380125990651,76.61818,6.19562193861745,0.07481388179698253,-7.4813881796982535
喇10-18,1983-03-01,84.93754033732982,75.62852,9.309023186450915,0.10959845492911718,-10.959845492911718
喇10-18,1983-04-01,80.15704531599269,75.388,4.76904482771144,0.059496265224236435,-5.949626522423643
喇10-18,1983-05-01,70.45863686242635,76.07814,5.619503396362717,0.07975606180595077,7.975606180595077
喇10-18,1983-06-01,80.65258443405811,77.22792,3.4246639018315506,0.04246192389075355,-4.246192389075356
喇10-18,1983-07-01,80.07584352773827,77.34698,2.728866293851553,0.0340785207327385,-3.40785207327385
喇10-18,1983-08-01,73.12996748628328,76.9067,3.7767326479940664,0.05164411769638014,5.164411769638014
喇10-18,1983-09-01,78.53717374517376,76.83001,1.7071642847245414,0.021737022142707924,-2.1737022142707922
喇10-18,1983-10-01,75.45775208290998,76.917015,1.459262992773617,0.01933880817401288,1.933880817401288
喇10-18,1983-11-01,76.79237634627108,77.21494,0.4225665858578225,0.005502715321015608,0.5502715321015608
喇10-18,1983-12-01,81.19184759195286,77.53188,3.659964352206771,0.04507797840247103,-4.507797840247103
喇10-18,1984-01-01,72.60111481406219,77.343254,4.742139275293283,0.06531771980965193,6.531771980965193
喇10-18,1984-02-01,76.95061572851046,77.64806,0.6974479311575124,0.009063578303495051,0.9063578303495051
喇10-18,1984-03-01,77.40451290388134,77.93264,0.5281271718022538,0.006822950652219292,0.6822950652219292
喇10-18,1984-04-01,78.67042796179638,78.06971,0.6007181839643465,0.007635883006204884,-0.7635883006204884
喇10-18,1984-05-01,82.29952326762853,77.83241,4.467110547901967,0.054278692883498736,-5.427869288349873
喇10-18,1984-06-01,77.18381060760008,77.56613,0.38232098419679517,0.0049533831147635645,0.49533831147635643
喇10-18,1984-07-01,73.62134241007925,77.51323,3.8918869600379367,0.052863569620337586,5.286356962033759
喇10-18,1984-08-01,74.76649583418005,77.403786,2.6372898713863577,0.03527368565240022,3.5273685652400224
喇10-18,1984-09-01,79.21801950823004,76.63939,2.5786304701441054,0.03255105954619591,-3.255105954619591
喇10-18,1984-10-01,77.05263848811217,76.82211,0.23052545100279076,0.0029917917870957355,-0.29917917870957356
喇10-18,1984-11-01,81.03152611257875,77.15338,3.878144764922496,0.04785970289556821,-4.785970289556821
喇10-18,1984-12-01,78.44347937411095,77.41819,1.025289371669544,0.013070421912059203,-1.3070421912059202
喇10-18,1985-01-01,78.2873220890063,77.94282,0.34450440101801405,0.00440051328651069,-0.440051328651069
喇10-18,1985-02-01,75.41402804308068,78.05612,2.642093783091198,0.035034513493721456,3.5034513493721455
喇10-18,1985-03-01,75.98035846372689,78.243675,2.263316768206707,0.02978818228775818,2.9788182287758183
喇10-18,1985-04-01,73.52556594188174,77.74558,4.220016638684669,0.05739522823966265,5.739522823966265
喇10-18,1985-05-01,77.51278195488723,78.00508,0.4922992218705815,0.006351200530476403,0.6351200530476403
喇10-18,1985-06-01,76.17399349725666,77.8149,1.6409097620206836,0.021541600836245765,2.1541600836245767
喇10-18,1985-07-01,74.39796464133306,78.04887,3.650901630639595,0.04907260095407602,4.907260095407602
喇10-18,1985-08-01,83.09280227596017,78.01539,5.077413787190636,0.061105338225662394,-6.110533822566239
喇10-18,1985-09-01,76.22396382849014,77.751564,1.5276001973887645,0.020040944089787616,2.004094408978762
喇10-18,1985-10-01,72.1159861816704,77.89401,5.778026269501481,0.080121295921071,8.012129592107101
喇10-18,1985-11-01,70.40242023978867,77.852036,7.449615282672269,0.1058147611587654,10.581476115876539
喇10-18,1985-12-01,86.4304039829303,78.494385,7.936019217305301,0.09181976308791333,-9.181976308791333
喇10-18,1986-01-01,76.05947815484659,77.91527,1.85578978948935,0.024399191718239486,2.4399191718239486
喇10-18,1986-02-01,75.44942369437106,78.17522,2.7257929804336243,0.03612741949461681,3.6127419494616806
喇10-18,1986-03-01,77.07554155659419,78.39529,1.319745003464405,0.017122747071395626,1.7122747071395625
喇10-18,1986-04-01,79.12848933143671,78.32131,0.8071773807531173,0.010200844064799255,-1.0200844064799255
喇10-18,1986-05-01,79.7156407234302,78.0039,1.7117421028247293,0.021473102233017745,-2.1473102233017745
喇10-18,1986-06-01,80.98571997561473,77.874954,3.1107657519819156,0.03841128723580633,-3.8411287235806326
