JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,RCYE,HSL,YCY
北2-2-038,199410,6924946,5.2,560,3,6,1221.8,23.6607,18.51,50.91,63.64,18.51
北2-2-038,199411,6924946,5.7,415,3,6,1539.5,23.7818,14.51,51.32,71.72,14.51
北2-2-038,199412,6924946,5.5,483,3,6,1440.6,23.9029,11.95,46.47,74.28,11.95
北2-2-038,199501,6924946,7.7,170,3,6,1319,24.0206,11.66,42.55,72.6,11.66
北2-2-038,199502,6924946,7.1,284,3,6,1315.3,24.1289,12.33,46.98,73.76,12.33
北2-2-038,199503,6924946,6.9,327,3,6,1438.4,24.2465,10.63,46.4,77.09,10.63
北2-2-038,199504,6924946,8,171,3,6,1328.7,24.3586,9.62,44.29,78.27,9.62
北2-2-038,199505,6924946,8.5,157,3,6,1467.9,24.4744,8.95,47.35,81.1,8.95
北2-2-038,199506,6924946,8.7,41,3,6,1496,24.5871,9.47,49.87,81,9.47
北2-2-038,199507,6924946,8.7,41,3,6,1611.1,24.7014,9.38,51.97,81.94,9.38
北2-2-038,199508,6924946,7.7,157,3,6,1684.6,24.8121,10.62,54.34,80.46,10.62
北2-2-038,199509,6924946,8,135,3,6,1588.6,24.9211,9.96,52.95,81.18,9.96
北2-2-038,199510,6924946,7.1,248,3,6,1518.9,25.0356,9.27,49,81.07,9.27
北2-2-038,199511,6924946,7.1,248,3,6,1655,25.1557,9.92,55.17,82.01,9.92
北2-2-038,199512,6924946,7.1,248,3,6,1920.6,25.2708,10.96,61.95,82.3,10.96
北2-2-038,199601,6924946,7.1,248,3,6,1752.3,25.3848,10,56.53,82.31,10
北2-2-038,199602,6924946,7.1,248,3,6,1573.7,25.4963,10.48,54.27,80.7,10.48
北2-2-038,199603,6924946,7.1,248,3,6,1575.7,25.6109,9.4,50.83,81.51,9.4
北2-2-038,199604,6924946,7.1,248,3,6,1600.9,25.7266,7.92,53.36,85.16,7.92
北2-2-038,199605,6924946,7.1,248,3,6,1813.1,25.8422,7.26,58.49,87.59,7.26
北2-2-038,199606,6924946,7.1,248,3,6,2160.5,25.955,5.92,72.02,91.78,5.92
北2-2-038,199607,6924946,7.1,248,3,6,2364.1,26.068,9.26,76.26,87.85,9.26
北2-2-038,199608,6924946,7.1,248,3,6,2301.7,26.1806,8.82,74.25,88.12,8.82
北2-2-038,199609,6924946,7.1,248,3,6,2118.3,26.2812,7.06,70.61,90,7.06
北2-2-038,199610,6924946,8.7,66,3,6,2334.2,26.3863,7.47,77.81,90.4,7.47
北2-2-040,198412,6924801,13.2,74,3,6,902.7,11.7027,9.14,31.13,70.64,9.14
北2-2-040,198501,6924801,12.9,240,3,6,911.6,11.825,8.29,30.39,72.71,8.29
北2-2-040,198502,6924801,13,42,3,6,904.5,11.9375,9.22,33.5,72.48,9.22
北2-2-040,198503,6924801,13.1,82,3,6,1060.9,12.0697,7.99,35.36,77.4,7.99
北2-2-040,198504,6924801,13.3,82,3,6,1278.6,12.2046,10.54,44.09,76.1,10.54
北2-2-040,198505,6924801,12.6,82,3,6,1465,12.3381,11.4,48.83,76.66,11.4
北2-2-040,198506,6924801,11.2,242,3,6,1312.3,12.4724,11.26,45.25,75.11,11.26
北2-2-040,198507,6924801,11.8,226,3,6,1110.4,12.6121,9.34,37.01,74.76,9.34
北2-2-040,198508,6924801,6.6,246,3,6,1069.2,12.7509,8.81,35.64,75.27,8.81
北2-2-040,198509,6924801,11.4,166,3,6,947.7,12.8854,7.05,32.68,78.43,7.05
北2-2-040,198510,6924801,10.8,256,3,6,1337.9,13.0246,7.85,44.6,82.39,7.85
北2-2-040,198511,6924801,10.8,256,3,6,1145.9,13.1647,8.72,45.84,80.97,8.72
北2-2-040,198512,6924801,8.1,654,3,6,1336.4,13.3065,11.75,51.4,77.14,11.75
